compendium_technology_labels	Sample	PC1	PC2
MICROARRAY	GSM448988	40.42216225099473	-39.002520605037994
MICROARRAY	GSM1070394	41.524628869511865	-47.94842464591826
MICROARRAY	GSM1070396	38.6606259053473	-46.849448285046265
MICROARRAY	GSM604808	42.25548253614807	-23.569281908509453
MICROARRAY	GSM1032222	37.94538553378509	15.197798502461035
MICROARRAY	GSM1022853	38.876780397380635	-3.3828230415345235
MICROARRAY	GSM604803	43.5273944804318	-18.60770002808866
MICROARRAY	GSM2027274	38.32258210969177	-13.316908628613902
MICROARRAY	GSM1088013	37.956192923532775	7.377622975215677
MICROARRAY	GSM2027271	39.267365782372245	-6.4620871628864105
MICROARRAY	E-MTAB-2207-setdb2 morpholino 4	40.969715372530814	-46.35117629209722
MICROARRAY	GSM2360986	24.689539222257267	30.191689830363714
MICROARRAY	GSM35850	42.04132374641663	-9.89549158916393
MICROARRAY	GSM280442	38.61064551210562	-22.619630171536222
MICROARRAY	GSM224802	40.36896486162417	-17.88433536436936
MICROARRAY	GSM1370123	37.26893803475282	5.246187360424759
MICROARRAY	GSM493395	41.486767188962055	-15.556502529718529
MICROARRAY	GSM1032217	38.22673328125804	15.681067022727031
MICROARRAY	GSM493410	45.7711757470114	-19.92445828190657
MICROARRAY	GSM448976	39.81016502948349	-39.51294229669686
MICROARRAY	GSM2027269	39.1547547821018	-4.826398275993087
MICROARRAY	GSM912684	42.789514565963835	-22.75671925922271
MICROARRAY	E-MTAB-2207-control morpholino 4	40.99734096044837	-47.48968586736869
MICROARRAY	GSM1184939	39.97680710414593	-12.003299528932597
MICROARRAY	GSM683602	38.1373413099218	-22.233381463004914
MICROARRAY	E-MTAB-2207-control morpholino 1	40.17765588048167	-46.87629904848311
MICROARRAY	GSM336950	42.04132374641663	-9.89549158916393
MICROARRAY	GSM306839	39.84789677586559	-16.850076893931227
MICROARRAY	GSM801349	40.81492097434713	-9.63496659613231
MICROARRAY	GSM419451	39.09243280754299	-0.49279906720893396
MICROARRAY	GSM35849	41.99110397877002	-7.4463591236466184
MICROARRAY	GSM1022847	39.82185192072696	-1.2076218893452682
MICROARRAY	GSM978308	38.80282904909565	-3.3345778306207374
MICROARRAY	GSM1122077	39.79715127495528	-9.674560158703024
MICROARRAY	GSM85197	42.839052608744616	-20.413418154884283
MICROARRAY	GSM537963	40.10246866021815	-41.809864213672824
MICROARRAY	GSM912666	40.89020298852859	-14.690730066206019
MICROARRAY	GSM912701	38.16025681164688	-20.04750027357474
MICROARRAY	GSM289397	42.54396602294806	-31.91602166640629
MICROARRAY	GSM479029	37.12260040431791	9.909876645851059
MICROARRAY	GSM35851	42.22605118259012	-9.845038197766193
MICROARRAY	GSM683603	39.25065707672457	-22.604435905312048
MICROARRAY	GSM1022849	39.02709350836816	1.2350969078972969
MICROARRAY	GSM912702	39.59206728270839	-18.93618031057498
MICROARRAY	GSM1032219	39.0430350267131	15.278343721382214
MICROARRAY	GSM1032221	38.00767605056619	16.364946914852975
MICROARRAY	GSM206402	33.68150669043067	12.595269775106093
MICROARRAY	GSM519696	41.01820012228937	-17.289734954811887
MICROARRAY	GSM683605	38.20436204529674	-22.37322560284684
MICROARRAY	GSM493402	43.170639903708555	-9.293956987657074
MICROARRAY	GSM2027273	38.447358194794354	-6.52047520860191
MICROARRAY	E-MTAB-2207-setdb2 morpholino 1	41.22902997881205	-46.703521036114495
MICROARRAY	GSM448968	40.54037686202751	-41.66786493520512
MICROARRAY	GSM683606	38.75861897412138	-22.3525435066418
MICROARRAY	GSM683601	38.26713495605405	-22.28069178199759
MICROARRAY	GSM2027265	39.56888213011395	-6.308797245912034
MICROARRAY	GSM2027270	38.295145632070735	-6.802328839858523
MICROARRAY	GSM1022848	39.70356986915337	-0.6712408056308454
MICROARRAY	GSM224810	40.06273226547817	-7.060781191623011
MICROARRAY	GSM493408	44.046143258834256	-16.48541285747105
MICROARRAY	GSM1022852	36.83580191407266	3.9192391584355795
MICROARRAY	GSM419462	38.238161922058154	4.950864086877875
MICROARRAY	GSM1496113	38.7683414952441	-24.301882441508194
MICROARRAY	GSM289398	41.718746352271694	-35.71771107255176
MICROARRAY	GSM1022851	37.47572201865256	-0.9971300554602921
MICROARRAY	GSM466795	38.47437690017552	-43.82105586874897
MICROARRAY	GSM324906	39.840813385943356	-23.561392217886752
MICROARRAY	GSM216439	38.73662991037976	-23.290449006915384
MICROARRAY	GSM1139095	43.46033006658114	-16.533858174802717
MICROARRAY	GSM419459	40.32796803565296	3.3467885151224763
MICROARRAY	GSM228889	44.53086974788724	-6.5564373923166706
MICROARRAY	GSM1070393	41.910244506965114	-47.51751191457801
MICROARRAY	GSM604797	42.15713337320276	-36.56613293314094
MICROARRAY	GSM1070392	36.55588861323818	-45.2411282092862
MICROARRAY	GSM479026	38.67257044479693	9.677237906576496
MICROARRAY	GSM683600	37.96742222457668	-22.036715136831795
MICROARRAY	GSM604804	45.374247937919876	-16.52311221608969
MICROARRAY	GSM289392	44.109951773876624	-23.508908496624567
MICROARRAY	GSM2027266	39.56176459831972	-4.857470905802439
MICROARRAY	GSM537962	38.870796158985215	-40.966893140714035
MICROARRAY	GSM466796	42.88131613658414	-48.2024462026936
MICROARRAY	GSM1032215	38.25461510231083	15.028316621955751
MICROARRAY	GSM466792	38.46981443575733	-45.60810481524532
MICROARRAY	GSM1032213	39.22073543266793	14.558562373280198
MICROARRAY	GSM337593	35.05172485294124	9.207617524796023
MICROARRAY	GSM419457	42.47019450607111	1.8617661633480431
MICROARRAY	GSM1022850	37.73100185423875	4.389450813785005
MICROARRAY	GSM419449	37.83927288672087	-8.524082744313432
MICROARRAY	GSM683599	37.93700603243467	-21.832694828588934
MICROARRAY	GSM419448	38.433118251399826	-9.971154294938778
MICROARRAY	GSM289394	43.390947688671645	-25.00736516127646
MICROARRAY	GSM537967	41.63991232732445	-38.66726043170241
