Gene	gene_length	Zero_proportion
ENSDARG00000000001	2476	0.0477326968973747
ENSDARG00000000002	2604	0.10978520286396182
ENSDARG00000000018	3013	0.021479713603818614
ENSDARG00000000019	2758	0.01909307875894988
ENSDARG00000000068	2397	0.03579952267303103
ENSDARG00000000069	2290	0.01909307875894988
ENSDARG00000000086	6364	0.03818615751789976
ENSDARG00000000103	7721	0.014319809069212411
ENSDARG00000000142	1398	0.12649164677804295
ENSDARG00000000151	2720	0.021479713603818614
ENSDARG00000000161	5735	0.057279236276849645
ENSDARG00000000175	1832	0.22195704057279236
ENSDARG00000000183	6573	0.0405727923627685
ENSDARG00000000189	7536	0.021479713603818614
ENSDARG00000000212	1503	0.08353221957040573
ENSDARG00000000229	5353	0.01909307875894988
ENSDARG00000000241	3780	0.03341288782816229
ENSDARG00000000324	1824	0.06205250596658711
ENSDARG00000000349	1223	0.33890214797136037
ENSDARG00000000369	1361	0.29594272076372313
ENSDARG00000000370	8958	0.06682577565632458
ENSDARG00000000380	3984	0.11217183770883055
ENSDARG00000000394	3991	0.014319809069212411
ENSDARG00000000423	1958	0.0477326968973747
ENSDARG00000000442	3061	0.028639618138424822
ENSDARG00000000460	942	0.5107398568019093
ENSDARG00000000472	3357	0.07875894988066826
ENSDARG00000000474	546	0.6968973747016707
ENSDARG00000000476	3036	0.04295942720763723
ENSDARG00000000489	2580	0.02386634844868735
ENSDARG00000000503	6827	0.06443914081145585
ENSDARG00000000516	4335	0.17422434367541767
ENSDARG00000000529	2951	0.03579952267303103
ENSDARG00000000540	6343	0.021479713603818614
ENSDARG00000000542	6403	0.021479713603818614
ENSDARG00000000551	4957	0.02386634844868735
ENSDARG00000000563	88557	0.06205250596658711
ENSDARG00000000567	5617	0.02386634844868735
ENSDARG00000000568	4151	0.016706443914081145
ENSDARG00000000588	2429	0.03579952267303103
ENSDARG00000000606	12816	0.09307875894988067
ENSDARG00000000631	6116	0.02386634844868735
ENSDARG00000000638	1379	0.25059665871121717
ENSDARG00000000651	1386	0.045346062052505964
ENSDARG00000000656	1153	0.21479713603818615
ENSDARG00000000666	2321	0.026252983293556086
ENSDARG00000000690	1966	0.028639618138424822
ENSDARG00000000729	3191	0.031026252983293555
ENSDARG00000000730	2752	0.0405727923627685
ENSDARG00000000747	2798	0.059665871121718374
ENSDARG00000000760	951	0.05250596658711217
ENSDARG00000000767	2475	0.0954653937947494
ENSDARG00000000779	2124	0.031026252983293555
ENSDARG00000000796	5776	0.031026252983293555
ENSDARG00000000804	1602	0.10023866348448687
ENSDARG00000000830	2981	0.031026252983293555
ENSDARG00000000837	3267	0.06682577565632458
ENSDARG00000000853	3842	0.021479713603818614
ENSDARG00000000857	3255	0.01909307875894988
ENSDARG00000000861	9356	0.021479713603818614
